timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692275672263,545,Location Name based search,200,OK,Location Name based search 2-36,text,true,,1624,328,14,14,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=naz,545,0,44
1692275672203,697,Location Name based search,200,OK,Location Name based search 2-35,text,true,,386,328,14,14,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=jwr,697,0,48
1692275672084,821,Location Name based search,200,OK,Location Name based search 2-33,text,true,,386,328,13,13,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=jgf,821,0,47
1692275672323,596,Location Name based search,200,OK,Location Name based search 2-37,text,true,,386,328,12,12,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=bcu,596,0,42
1692275672029,914,Location Name based search,200,OK,Location Name based search 2-32,text,true,,386,328,12,12,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=exy,914,0,48
1692275672143,800,Location Name based search,200,OK,Location Name based search 2-34,text,true,,386,328,12,12,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=nzp,800,0,49
1692275672384,575,Location Name based search,200,OK,Location Name based search 2-38,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=mry,575,0,42
1692275672443,637,Location Name based search,200,OK,Location Name based search 2-39,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=ilu,637,0,42
1692275672507,597,Location Name based search,200,OK,Location Name based search 2-40,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=tos,597,0,46
1692275672566,612,Location Name based search,200,OK,Location Name based search 2-41,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=jwt,612,0,43
1692275672751,535,Location Name based search,200,OK,Location Name based search 2-44,text,true,,2485,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=oyn,535,0,41
1692275672625,726,Location Name based search,200,OK,Location Name based search 2-42,text,true,,386,328,12,12,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=fwf,726,0,44
1692275672684,704,Location Name based search,200,OK,Location Name based search 2-43,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=mvn,704,0,42
1692275672864,541,Location Name based search,200,OK,Location Name based search 2-46,text,true,,991,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=eid,541,0,45
1692275672806,625,Location Name based search,200,OK,Location Name based search 2-45,text,true,,40522,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=rne,624,0,40
1692275672923,573,Location Name based search,200,OK,Location Name based search 2-47,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=bbm,573,0,43
1692275673043,499,Location Name based search,200,OK,Location Name based search 2-49,text,true,,1004,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=dsm,499,0,44
1692275672982,571,Location Name based search,200,OK,Location Name based search 2-48,text,true,,386,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=bgq,571,0,43
1692275673103,523,Location Name based search,200,OK,Location Name based search 2-50,text,true,,1026,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=ghr,523,0,42
1692275673163,582,Location Name based search,200,OK,Location Name based search 2-51,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=znw,582,0,45
1692275673291,571,Location Name based search,200,OK,Location Name based search 2-53,text,true,,6472,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=eli,571,0,45
1692275673236,628,Location Name based search,200,OK,Location Name based search 2-52,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=jzt,628,0,41
1692275673351,520,Location Name based search,200,OK,Location Name based search 2-54,text,true,,3978,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=owd,520,0,45
1692275673410,581,Location Name based search,200,OK,Location Name based search 2-55,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=rwl,581,0,45
1692275673526,524,Location Name based search,200,OK,Location Name based search 2-57,text,true,,5690,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=leb,524,0,43
1692275673478,632,Location Name based search,200,OK,Location Name based search 2-56,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=keb,632,0,43
1692275673643,598,Location Name based search,200,OK,Location Name based search 2-59,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=pfu,598,0,43
1692275673585,660,Location Name based search,200,OK,Location Name based search 2-58,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=zlw,660,0,43
1692275673704,571,Location Name based search,200,OK,Location Name based search 2-60,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=sbh,571,0,45
1692275673763,541,Location Name based search,200,OK,Location Name based search 2-61,text,true,,2004,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=opb,541,0,42
1692275673883,590,Location Name based search,200,OK,Location Name based search 2-63,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=vcj,590,0,44
1692275673822,694,Location Name based search,200,OK,Location Name based search 2-62,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=nph,694,0,47
1692275673945,617,Location Name based search,200,OK,Location Name based search 2-64,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=lqp,617,0,43
1692275674010,573,Location Name based search,200,OK,Location Name based search 2-65,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=rlg,573,0,42
1692275674123,630,Location Name based search,200,OK,Location Name based search 2-67,text,true,,386,328,12,12,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=kad,630,0,42
1692275674183,587,Location Name based search,200,OK,Location Name based search 2-68,text,true,,991,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=uhl,587,0,41
1692275674064,729,Location Name based search,200,OK,Location Name based search 2-66,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=xxt,729,0,45
1692275674248,598,Location Name based search,200,OK,Location Name based search 2-69,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=wfr,598,0,42
1692275674424,481,Location Name based search,200,OK,Location Name based search 2-72,text,true,,1197,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=isd,481,0,46
1692275674306,633,Location Name based search,200,OK,Location Name based search 2-70,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=mpc,633,0,44
1692275674482,518,Location Name based search,200,OK,Location Name based search 2-73,text,true,,1186,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=twh,518,0,43
1692275674366,687,Location Name based search,200,OK,Location Name based search 2-71,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=nhk,687,0,44
1692275674543,550,Location Name based search,200,OK,Location Name based search 2-74,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=cnl,550,0,43
1692275674603,601,Location Name based search,200,OK,Location Name based search 2-75,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=auz,601,0,41
1692275674662,587,Location Name based search,200,OK,Location Name based search 2-76,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=ykr,587,0,41
1692275674726,592,Location Name based search,200,OK,Location Name based search 2-77,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=ggg,592,0,43
1692275674786,613,Location Name based search,200,OK,Location Name based search 2-78,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=cex,613,0,45
1692275674843,583,Location Name based search,200,OK,Location Name based search 2-79,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=isv,583,0,40
1692275674971,558,Location Name based search,200,OK,Location Name based search 2-81,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=crx,558,0,40
1692275674903,698,Location Name based search,200,OK,Location Name based search 2-80,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=gnl,698,0,41
1692275675024,579,Location Name based search,200,OK,Location Name based search 2-82,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=fap,578,0,42
1692275675211,475,Location Name based search,200,OK,Location Name based search 2-85,text,true,,1355,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=nkm,475,0,43
1692275675085,603,Location Name based search,200,OK,Location Name based search 2-83,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=ufp,603,0,40
1692275675159,577,Location Name based search,200,OK,Location Name based search 2-84,text,true,,386,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=zwr,577,0,44
1692275675269,615,Location Name based search,200,OK,Location Name based search 2-86,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=gbb,615,0,41
1692275675325,574,Location Name based search,200,OK,Location Name based search 2-87,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=qov,574,0,42
1692275675503,483,Location Name based search,200,OK,Location Name based search 2-90,text,true,,1768,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=opw,483,0,41
1692275675443,549,Location Name based search,200,OK,Location Name based search 2-89,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=jbr,549,0,43
1692275675383,635,Location Name based search,200,OK,Location Name based search 2-88,text,true,,386,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=uvj,635,0,40
1692275675563,563,Location Name based search,200,OK,Location Name based search 2-91,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=cww,562,0,42
1692275675624,566,Location Name based search,200,OK,Location Name based search 2-92,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=jao,566,0,48
1692275675683,586,Location Name based search,200,OK,Location Name based search 2-93,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=qdu,586,0,42
1692275675742,621,Location Name based search,200,OK,Location Name based search 2-94,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=fiq,621,0,44
1692275675811,593,Location Name based search,200,OK,Location Name based search 2-95,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=nln,593,0,41
1692275675863,574,Location Name based search,200,OK,Location Name based search 2-96,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=sqs,574,0,44
1692275675932,572,Location Name based search,200,OK,Location Name based search 2-97,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=ika,572,0,43
1692275675984,558,Location Name based search,200,OK,Location Name based search 2-98,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=mok,558,0,45
1692275676104,474,Location Name based search,200,OK,Location Name based search 2-100,text,true,,10267,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=ckh,474,0,41
1692275676045,567,Location Name based search,200,OK,Location Name based search 2-99,text,true,,386,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=bmc,567,0,42
1692275676163,487,Location Name based search,200,OK,Location Name based search 2-101,text,true,,2885,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=opt,487,0,46
1692275676222,608,Location Name based search,200,OK,Location Name based search 2-102,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=qxu,608,0,44
1692275676283,550,Location Name based search,200,OK,Location Name based search 2-103,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=iqq,550,0,46
1692275676402,471,Location Name based search,200,OK,Location Name based search 2-105,text,true,,1018,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=dwy,471,0,39
1692275676343,655,Location Name based search,200,OK,Location Name based search 2-104,text,true,,155092,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=and,631,0,39
1692275676464,564,Location Name based search,200,OK,Location Name based search 2-106,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=wxx,564,0,43
1692275676523,574,Location Name based search,200,OK,Location Name based search 2-107,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=mbz,574,0,45
1692275676584,573,Location Name based search,200,OK,Location Name based search 2-108,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=bmz,573,0,44
1692275676705,468,Location Name based search,200,OK,Location Name based search 2-110,text,true,,386,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=kql,468,0,41
1692275676643,592,Location Name based search,200,OK,Location Name based search 2-109,text,true,,386,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=hbm,592,0,61
1692275676762,498,Location Name based search,200,OK,Location Name based search 2-111,text,true,,3141,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=bid,498,0,44
1692275676823,513,Location Name based search,200,OK,Location Name based search 2-112,text,true,,7922,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=mps,513,0,43
1692275676885,567,Location Name based search,200,OK,Location Name based search 2-113,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=mez,567,0,41
1692275677003,496,Location Name based search,200,OK,Location Name based search 2-115,text,true,,26112,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=hol,496,0,47
1692275676943,568,Location Name based search,200,OK,Location Name based search 2-114,text,true,,386,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=jkb,568,0,42
1692275677064,546,Location Name based search,200,OK,Location Name based search 2-116,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=uvl,546,0,41
1692275677132,566,Location Name based search,200,OK,Location Name based search 2-117,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=yus,566,0,42
1692275677242,477,Location Name based search,200,OK,Location Name based search 2-119,text,true,,7375,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=ees,477,0,44
1692275677184,547,Location Name based search,200,OK,Location Name based search 2-118,text,true,,386,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=yxq,547,0,41
1692275677304,462,Location Name based search,200,OK,Location Name based search 2-120,text,true,,982,328,8,8,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=skn,462,0,41
1692275677364,521,Location Name based search,200,OK,Location Name based search 2-121,text,true,,2494,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=eye,521,0,43
1692275677423,536,Location Name based search,200,OK,Location Name based search 2-122,text,true,,386,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=rvg,536,0,44
1692275677483,563,Location Name based search,200,OK,Location Name based search 2-123,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=ydc,563,0,44
1692275677544,580,Location Name based search,200,OK,Location Name based search 2-124,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=xmk,580,0,42
1692275677603,539,Location Name based search,200,OK,Location Name based search 2-125,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=jdk,539,0,42
1692275677726,452,Location Name based search,200,OK,Location Name based search 2-127,text,true,,1519,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=tie,452,0,41
1692275677664,566,Location Name based search,200,OK,Location Name based search 2-126,text,true,,386,328,9,9,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=fzc,566,0,40
1692275677783,634,Location Name based search,200,OK,Location Name based search 2-128,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=tjj,634,0,42
1692275677904,543,Location Name based search,200,OK,Location Name based search 2-130,text,true,,386,328,11,11,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=afp,543,0,45
1692275677846,605,Location Name based search,200,OK,Location Name based search 2-129,text,true,,386,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=gwz,605,0,41
1692275678023,492,Location Name based search,200,OK,Location Name based search 2-132,text,true,,1151,328,10,10,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=doy,492,0,40
